airline,flight,source_city,departure_time,stops,arrival_time,destination_city,class,duration,days_left,price,delai_reservation,duree_vol,prix_par_heure,est_direct
Vistara,UK-637,Delhi,Evening,one,Night,Mumbai,Economy,4.42,5,10575,Dernière minute,Moyen ( 3-8h ),2392.5339366515836,0
Vistara,UK-879,Delhi,Evening,one,Night,Mumbai,Economy,5.33,5,10575,Dernière minute,Moyen ( 3-8h ),1984.0525328330207,0
Vistara,UK-706,Delhi,Afternoon,one,Night,Mumbai,Economy,7.92,5,10575,Dernière minute,Moyen ( 3-8h ),1335.2272727272727,0
Vistara,UK-879,Delhi,Evening,one,Morning,Mumbai,Economy,16.33,5,10575,Dernière minute,Long ( 8-20h ),647.5811390079609,0
SpiceJet,SG-3002,Delhi,Early_Morning,one,Morning,Mumbai,Economy,4.25,5,10260,Dernière minute,Moyen ( 3-8h ),2414.1176470588234,0
Air_India,AI-9887,Delhi,Early_Morning,one,Night,Mumbai,Economy,15.17,5,10260,Dernière minute,Long ( 8-20h ),676.3348714568227,0
Vistara,UK-683,Delhi,Afternoon,one,Afternoon,Mumbai,Economy,25.58,5,10723,Dernière minute,Très long ( > 20h ),419.1946833463644,0
GO_FIRST,G8-1404,Delhi,Morning,one,Evening,Mumbai,Economy,7.08,5,10549,Dernière minute,Moyen ( 3-8h ),1489.9717514124293,0
GO_FIRST,G8-165,Delhi,Early_Morning,one,Afternoon,Mumbai,Economy,8.0,5,10575,Dernière minute,Moyen ( 3-8h ),1321.875,0
Air_India,AI-877,Delhi,Morning,one,Evening,Mumbai,Economy,6.42,5,10680,Dernière minute,Moyen ( 3-8h ),1663.551401869159,0
Air_India,AI-473,Delhi,Evening,one,Evening,Mumbai,Economy,22.75,5,10680,Dernière minute,Très long ( > 20h ),469.45054945054943,0
GO_FIRST,G8-286,Delhi,Morning,one,Evening,Mumbai,Economy,8.83,5,11259,Dernière minute,Long ( 8-20h ),1275.0849377123443,0
GO_FIRST,G8-1010,Delhi,Afternoon,one,Evening,Mumbai,Economy,5.83,5,11295,Dernière minute,Moyen ( 3-8h ),1937.392795883362,0
Air_India,AI-9939,Delhi,Early_Morning,one,Night,Mumbai,Economy,15.67,5,11573,Dernière minute,Long ( 8-20h ),738.5449904275686,0
GO_FIRST,G8-213,Delhi,Morning,one,Evening,Mumbai,Economy,6.33,5,11609,Dernière minute,Moyen ( 3-8h ),1833.965244865719,0
Air_India,AI-403,Delhi,Afternoon,one,Evening,Mumbai,Economy,6.33,5,11773,Dernière minute,Moyen ( 3-8h ),1859.8736176935229,0
Air_India,AI-479,Delhi,Night,one,Afternoon,Mumbai,Economy,17.75,5,11900,Dernière minute,Long ( 8-20h ),670.4225352112676,0
Vistara,UK-683,Delhi,Afternoon,one,Afternoon,Mumbai,Economy,25.58,6,10198,Dernière minute,Très long ( > 20h ),398.6708365910868,0
Indigo,6E-2373,Delhi,Afternoon,one,Evening,Mumbai,Economy,6.0,6,10003,Dernière minute,Moyen ( 3-8h ),1667.1666666666667,0
Air_India,AI-9643,Delhi,Evening,one,Afternoon,Mumbai,Economy,20.83,6,10103,Dernière minute,Très long ( > 20h ),485.02160345655307,0
Air_India,AI-9939,Delhi,Early_Morning,one,Night,Mumbai,Economy,15.67,6,10313,Dernière minute,Long ( 8-20h ),658.1365666879387,0
Air_India,AI-877,Delhi,Morning,one,Evening,Mumbai,Economy,6.42,6,10680,Dernière minute,Moyen ( 3-8h ),1663.551401869159,0
Air_India,AI-473,Delhi,Evening,one,Evening,Mumbai,Economy,22.75,6,10680,Dernière minute,Très long ( > 20h ),469.45054945054943,0
Indigo,6E-2338,Delhi,Afternoon,one,Night,Mumbai,Economy,8.0,6,10838,Dernière minute,Moyen ( 3-8h ),1354.75,0
Air_India,AI-415,Delhi,Evening,one,Evening,Mumbai,Economy,25.08,6,10921,Dernière minute,Très long ( > 20h ),435.4465709728868,0
GO_FIRST,G8-1404,Delhi,Morning,one,Evening,Mumbai,Economy,7.08,6,11127,Dernière minute,Moyen ( 3-8h ),1571.6101694915253,0
GO_FIRST,G8-2401,Delhi,Morning,one,Evening,Mumbai,Economy,8.0,6,11179,Dernière minute,Moyen ( 3-8h ),1397.375,0
SpiceJet,SG-2976,Delhi,Evening,one,Morning,Mumbai,Economy,15.25,6,11281,Dernière minute,Long ( 8-20h ),739.7377049180328,0
GO_FIRST,G8-1010,Delhi,Afternoon,one,Evening,Mumbai,Economy,5.83,6,11295,Dernière minute,Moyen ( 3-8h ),1937.392795883362,0
Air_India,AI-471,Delhi,Afternoon,one,Evening,Mumbai,Economy,4.58,6,11520,Dernière minute,Moyen ( 3-8h ),2515.28384279476,0
GO_FIRST,G8-213,Delhi,Morning,one,Evening,Mumbai,Economy,6.33,6,11609,Dernière minute,Moyen ( 3-8h ),1833.965244865719,0
Air_India,AI-811,Delhi,Evening,one,Afternoon,Mumbai,Economy,20.58,6,11730,Dernière minute,Très long ( > 20h ),569.9708454810497,0
Indigo,6E-152,Delhi,Morning,one,Evening,Mumbai,Economy,7.67,6,11814,Dernière minute,Moyen ( 3-8h ),1540.2868318122555,0
Air_India,AI-453,Delhi,Early_Morning,one,Afternoon,Mumbai,Economy,10.08,6,11900,Dernière minute,Long ( 8-20h ),1180.5555555555557,0
